code,prefix,database,value,description,description_da,description_da_alt,description_da_full,description_en,description_en_official,description_en_official_source,description_en_source,source,confidence,language,parent_code,hierarchy_level
HEA_L_manual_bin_9,HEA,L,manual_bin_9,"Medicine volume per package (VOLUME), unit litres (VOLTYPECODE L): 9","Lægemiddelmængde pr. pakning (VOLUME), enhed L (VOLTYPECODE L): 9",,,"Medicine volume per package (VOLUME), unit litres (VOLTYPECODE L): 9",,,dst-lmdb-voltypecode,esundhed:lmdb_voltypecode,high,danish,,
HEA_L_manual_bin_2,HEA,L,manual_bin_2,"Medicine volume per package (VOLUME), unit litres (VOLTYPECODE L): 2","Lægemiddelmængde pr. pakning (VOLUME), enhed L (VOLTYPECODE L): 2",,,"Medicine volume per package (VOLUME), unit litres (VOLTYPECODE L): 2",,,dst-lmdb-voltypecode,esundhed:lmdb_voltypecode,high,danish,,
HEA_L_manual_bin_3,HEA,L,manual_bin_3,"Medicine volume per package (VOLUME), unit litres (VOLTYPECODE L): 3","Lægemiddelmængde pr. pakning (VOLUME), enhed L (VOLTYPECODE L): 3",,,"Medicine volume per package (VOLUME), unit litres (VOLTYPECODE L): 3",,,dst-lmdb-voltypecode,esundhed:lmdb_voltypecode,high,danish,,
HEA_L_manual_bin_10,HEA,L,manual_bin_10,"Medicine volume per package (VOLUME), unit litres (VOLTYPECODE L): 10","Lægemiddelmængde pr. pakning (VOLUME), enhed L (VOLTYPECODE L): 10",,,"Medicine volume per package (VOLUME), unit litres (VOLTYPECODE L): 10",,,dst-lmdb-voltypecode,esundhed:lmdb_voltypecode,high,danish,,
HEA_L_manual_bin_5,HEA,L,manual_bin_5,"Medicine volume per package (VOLUME), unit litres (VOLTYPECODE L): 5","Lægemiddelmængde pr. pakning (VOLUME), enhed L (VOLTYPECODE L): 5",,,"Medicine volume per package (VOLUME), unit litres (VOLTYPECODE L): 5",,,dst-lmdb-voltypecode,esundhed:lmdb_voltypecode,high,danish,,
HEA_L_manual_bin_1,HEA,L,manual_bin_1,"Medicine volume per package (VOLUME), unit litres (VOLTYPECODE L): 1","Lægemiddelmængde pr. pakning (VOLUME), enhed L (VOLTYPECODE L): 1",,,"Medicine volume per package (VOLUME), unit litres (VOLTYPECODE L): 1",,,dst-lmdb-voltypecode,esundhed:lmdb_voltypecode,high,danish,,
HEA_L_manual_bin_8,HEA,L,manual_bin_8,"Medicine volume per package (VOLUME), unit litres (VOLTYPECODE L): 8","Lægemiddelmængde pr. pakning (VOLUME), enhed L (VOLTYPECODE L): 8",,,"Medicine volume per package (VOLUME), unit litres (VOLTYPECODE L): 8",,,dst-lmdb-voltypecode,esundhed:lmdb_voltypecode,high,danish,,
HEA_L_manual_bin_6,HEA,L,manual_bin_6,"Medicine volume per package (VOLUME), unit litres (VOLTYPECODE L): 6","Lægemiddelmængde pr. pakning (VOLUME), enhed L (VOLTYPECODE L): 6",,,"Medicine volume per package (VOLUME), unit litres (VOLTYPECODE L): 6",,,dst-lmdb-voltypecode,esundhed:lmdb_voltypecode,high,danish,,
HEA_L_manual_bin_10_15,HEA,L,manual_bin_10_15,"Medicine volume per package (VOLUME), unit litres (VOLTYPECODE L): 10-15","Lægemiddelmængde pr. pakning (VOLUME), enhed L (VOLTYPECODE L): 10-15",,,"Medicine volume per package (VOLUME), unit litres (VOLTYPECODE L): 10-15",,,dst-lmdb-voltypecode,esundhed:lmdb_voltypecode,high,danish,,
HEA_L_manual_bin_4,HEA,L,manual_bin_4,"Medicine volume per package (VOLUME), unit litres (VOLTYPECODE L): 4","Lægemiddelmængde pr. pakning (VOLUME), enhed L (VOLTYPECODE L): 4",,,"Medicine volume per package (VOLUME), unit litres (VOLTYPECODE L): 4",,,dst-lmdb-voltypecode,esundhed:lmdb_voltypecode,high,danish,,
HEA_L_manual_bin_7,HEA,L,manual_bin_7,"Medicine volume per package (VOLUME), unit litres (VOLTYPECODE L): 7","Lægemiddelmængde pr. pakning (VOLUME), enhed L (VOLTYPECODE L): 7",,,"Medicine volume per package (VOLUME), unit litres (VOLTYPECODE L): 7",,,dst-lmdb-voltypecode,esundhed:lmdb_voltypecode,high,danish,,
HEA_L_over_1000,HEA,L,over_1000,"Medicine volume per package (VOLUME), unit litres (VOLTYPECODE L): over 1000","Lægemiddelmængde pr. pakning (VOLUME), enhed L (VOLTYPECODE L): over 1000",,,"Medicine volume per package (VOLUME), unit litres (VOLTYPECODE L): over 1000",,,dst-lmdb-voltypecode,esundhed:lmdb_voltypecode,high,danish,,
