code,prefix,database,value,description,description_da,description_da_alt,description_en,description_en_official,description_en_official_source,description_en_source,source,confidence,language,parent_code,hierarchy_level
HEA_atc_B01AC06,HEA,atc,B01AC06,"blodplade-aggregationshæmmere excl. heparin, acetylsalicylsyre","blodplade-aggregationshæmmere excl. heparin, acetylsalicylsyre",,platelet aggregation inhibitors excluding heparin and acetylsalicylic acid,"Platelet aggregation inhibitors excl. heparin, acetylsalicylic acid",who-atc,translated,raw_atc_enhanced_hierarchical,medium,danish,HEA_atc_B01AC,chemical_substance
HEA_atc_N02BE01,HEA,atc,N02BE01,"anilider, paracetamol","anilider, paracetamol",,"Anilides, paracetamol","Anilides, paracetamol",who-atc,who-atc,raw_atc_enhanced_hierarchical,medium,danish,HEA_atc_N02BE,chemical_substance
HEA_atc_S01AX06,HEA,atc,S01AX06,"andre antiinfektiva, resorcinol","andre antiinfektiva, resorcinol",,"other antiseptics and disinfectants, resorcinol","Other antiinfectives, resorcinol",who-atc,translated,raw_atc_enhanced_hierarchical,medium,danish,HEA_atc_S01AX,chemical_substance
HEA_atc_A10BB01,HEA,atc,A10BB01,"sulfonylcarbamid, glibenclamid","sulfonylcarbamid, glibenclamid",,"sulfonylureas, glibenclamide","Sulfonylureas, glibenclamide",who-atc,translated,raw_atc_enhanced_hierarchical,medium,danish,HEA_atc_A10BB,chemical_substance
HEA_atc_N05CD05,HEA,atc,N05CD05,"benzodiazepin-derivater, triazolam","benzodiazepin-derivater, triazolam",,"Benzodiazepine derivatives, triazolam","Benzodiazepine derivatives, triazolam",who-atc,who-atc,raw_atc_enhanced_hierarchical,medium,danish,HEA_atc_N05CD,chemical_substance
HEA_atc_M01AE01,HEA,atc,M01AE01,"propionsyre-derivater, ibuprofen","propionsyre-derivater, ibuprofen",,"Propionic acid derivatives, ibuprofen","Propionic acid derivatives, ibuprofen",who-atc,who-atc,raw_atc_enhanced_hierarchical,medium,danish,HEA_atc_M01AE,chemical_substance
HEA_atc_C03AB01,HEA,atc,C03AB01,"thiazider og kalium i kombination, bendroflumethiazid og kalium","thiazider og kalium i kombination, bendroflumethiazid og kalium",,"thiazides and potassium in combination, bendroflumethiazide and potassium","Thiazides and potassium in combination, bendroflumethiazide and potassium",who-atc,translated,raw_atc_enhanced_hierarchical,medium,danish,HEA_atc_C03AB,chemical_substance
HEA_atc_M04AA01,HEA,atc,M04AA01,"midler, der hæmmer urinsyreproduktionen, allopurinol","midler, der hæmmer urinsyreproduktionen, allopurinol",,"agents that inhibit uric acid production, allopurinol","Preparations inhibiting uric acid production, allopurinol",who-atc,translated,raw_atc_enhanced_hierarchical,medium,danish,HEA_atc_M04AA,chemical_substance
HEA_atc_D01AC08,HEA,atc,D01AC08,"imidazol- og triazol-derivater, ketoconazol","imidazol- og triazol-derivater, ketoconazol",,"imidazole and triazole derivatives, ketoconazole","Imidazole and triazole derivatives, ketoconazole",who-atc,translated,raw_atc_enhanced_hierarchical,medium,danish,HEA_atc_D01AC,chemical_substance
HEA_atc_D04AB02,HEA,atc,D04AB02,"lokalanæstetika til dermatologisk brug, cinchocain","lokalanæstetika til dermatologisk brug, cinchocain",,"topical local anesthetics for dermatological use, cinchocaine","Anesthetics for topical use, cinchocaine",who-atc,translated,raw_atc_enhanced_hierarchical,medium,danish,HEA_atc_D04AB,chemical_substance
HEA_atc_D07AD01,HEA,atc,D07AD01,"kortikosteroider, ekstra stærkt virkende (gruppe IV), clobetasol","kortikosteroider, ekstra stærkt virkende (gruppe IV), clobetasol",,"corticosteroids, very potent (group IV), clobetasol","Corticosteroids, very potent (group IV), clobetasol",who-atc,translated,raw_atc_enhanced_hierarchical,medium,danish,HEA_atc_D07AD,chemical_substance
HEA_atc_J01EB02,HEA,atc,J01EB02,"sulfonamider med kort virkningstid, sulfamethizol","sulfonamider med kort virkningstid, sulfamethizol",,"short-acting sulfonamides, sulfamethizole","Short-acting sulfonamides, sulfamethizole",who-atc,translated,raw_atc_enhanced_hierarchical,medium,danish,HEA_atc_J01EB,chemical_substance
HEA_atc_C08DB01,HEA,atc,C08DB01,"benzothiazepin-derivater, diltiazem","benzothiazepin-derivater, diltiazem",,"Benzothiazepine derivatives, diltiazem","Benzothiazepine derivatives, diltiazem",who-atc,who-atc,raw_atc_enhanced_hierarchical,medium,danish,HEA_atc_C08DB,chemical_substance
HEA_atc_N02BA75,HEA,atc,N02BA75,"salicylsyre-derivater, salicylamid, kombinationer med psykoleptika","salicylsyre-derivater, salicylamid, kombinationer med psykoleptika",,"salicylate derivatives, salicylamide, combinations with psychotropic drugs","Salicylic acid and derivatives, salicylamide, combinations with psycholeptics",who-atc,translated,raw_atc_enhanced_hierarchical,medium,danish,HEA_atc_N02BA,chemical_substance
HEA_atc_H02AB06,HEA,atc,H02AB06,"glucocorticoider, prednisolon","glucocorticoider, prednisolon",,"Glucocorticoids, prednisolone","Glucocorticoids, prednisolone",who-atc,who-atc,raw_atc_enhanced_hierarchical,medium,danish,HEA_atc_H02AB,chemical_substance
