code,prefix,database,value,description,description_da,description_da_alt,description_en,description_en_official,description_en_official_source,description_en_source,source,confidence,language,parent_code,hierarchy_level
LAB_ovrig_dagpenge_akas_13_Q11,LAB,ovrig,dagpenge_akas_13_Q11,"Øvrige dagpenge fra A-kasser (ekskl. efterløn, arbejdsløshedsdagpenge og uddannelsesgodtgørelse) — 11/100 kvantil","Øvrige dagpenge fra A-kasser (ekskl. efterløn, arbejdsløshedsdagpenge og uddannelsesgodtgørelse) — 11/100 kvantil",,"Other unemployment benefits from A-kasses (excl. efterløn, regular unemployment benefit and training allowance) — 11/100 quantile",,,dst_times_ovrig_dagpenge_akas_13,generated:quantile_percentile,high,english,,
LAB_ovrig_dagpenge_akas_13_Q2,LAB,ovrig,dagpenge_akas_13_Q2,"Øvrige dagpenge fra A-kasser (ekskl. efterløn, arbejdsløshedsdagpenge og uddannelsesgodtgørelse) — 2/100 kvantil","Øvrige dagpenge fra A-kasser (ekskl. efterløn, arbejdsløshedsdagpenge og uddannelsesgodtgørelse) — 2/100 kvantil",,"Other unemployment benefits from A-kasses (excl. efterløn, regular unemployment benefit and training allowance) — 2/100 quantile",,,dst_times_ovrig_dagpenge_akas_13,generated:quantile_percentile,high,english,,
LAB_ovrig_dagpenge_akas_13_Q9,LAB,ovrig,dagpenge_akas_13_Q9,"Øvrige dagpenge fra A-kasser (ekskl. efterløn, arbejdsløshedsdagpenge og uddannelsesgodtgørelse) — 9/100 kvantil","Øvrige dagpenge fra A-kasser (ekskl. efterløn, arbejdsløshedsdagpenge og uddannelsesgodtgørelse) — 9/100 kvantil",,"Other unemployment benefits from A-kasses (excl. efterløn, regular unemployment benefit and training allowance) — 9/100 quantile",,,dst_times_ovrig_dagpenge_akas_13,generated:quantile_percentile,high,english,,
LAB_ovrig_dagpenge_akas_13_Q24,LAB,ovrig,dagpenge_akas_13_Q24,"Øvrige dagpenge fra A-kasser (ekskl. efterløn, arbejdsløshedsdagpenge og uddannelsesgodtgørelse) — 24/100 kvantil","Øvrige dagpenge fra A-kasser (ekskl. efterløn, arbejdsløshedsdagpenge og uddannelsesgodtgørelse) — 24/100 kvantil",,"Other unemployment benefits from A-kasses (excl. efterløn, regular unemployment benefit and training allowance) — 24/100 quantile",,,dst_times_ovrig_dagpenge_akas_13,generated:quantile_percentile,high,english,,
LAB_ovrig_dagpenge_akas_13_Q3,LAB,ovrig,dagpenge_akas_13_Q3,"Øvrige dagpenge fra A-kasser (ekskl. efterløn, arbejdsløshedsdagpenge og uddannelsesgodtgørelse) — 3/100 kvantil","Øvrige dagpenge fra A-kasser (ekskl. efterløn, arbejdsløshedsdagpenge og uddannelsesgodtgørelse) — 3/100 kvantil",,"Other unemployment benefits from A-kasses (excl. efterløn, regular unemployment benefit and training allowance) — 3/100 quantile",,,dst_times_ovrig_dagpenge_akas_13,generated:quantile_percentile,high,english,,
LAB_ovrig_dagpenge_akas_13_Q7,LAB,ovrig,dagpenge_akas_13_Q7,"Øvrige dagpenge fra A-kasser (ekskl. efterløn, arbejdsløshedsdagpenge og uddannelsesgodtgørelse) — 7/100 kvantil","Øvrige dagpenge fra A-kasser (ekskl. efterløn, arbejdsløshedsdagpenge og uddannelsesgodtgørelse) — 7/100 kvantil",,"Other unemployment benefits from A-kasses (excl. efterløn, regular unemployment benefit and training allowance) — 7/100 quantile",,,dst_times_ovrig_dagpenge_akas_13,generated:quantile_percentile,high,english,,
LAB_ovrig_dagpenge_akas_13_Q19,LAB,ovrig,dagpenge_akas_13_Q19,"Øvrige dagpenge fra A-kasser (ekskl. efterløn, arbejdsløshedsdagpenge og uddannelsesgodtgørelse) — 19/100 kvantil","Øvrige dagpenge fra A-kasser (ekskl. efterløn, arbejdsløshedsdagpenge og uddannelsesgodtgørelse) — 19/100 kvantil",,"Other unemployment benefits from A-kasses (excl. efterløn, regular unemployment benefit and training allowance) — 19/100 quantile",,,dst_times_ovrig_dagpenge_akas_13,generated:quantile_percentile,high,english,,
LAB_ovrig_dagpenge_akas_13_Q54,LAB,ovrig,dagpenge_akas_13_Q54,"Øvrige dagpenge fra A-kasser (ekskl. efterløn, arbejdsløshedsdagpenge og uddannelsesgodtgørelse) — 54/100 kvantil","Øvrige dagpenge fra A-kasser (ekskl. efterløn, arbejdsløshedsdagpenge og uddannelsesgodtgørelse) — 54/100 kvantil",,"Other unemployment benefits from A-kasses (excl. efterløn, regular unemployment benefit and training allowance) — 54/100 quantile",,,dst_times_ovrig_dagpenge_akas_13,generated:quantile_percentile,high,english,,
LAB_ovrig_dagpenge_akas_13_Q51,LAB,ovrig,dagpenge_akas_13_Q51,"Øvrige dagpenge fra A-kasser (ekskl. efterløn, arbejdsløshedsdagpenge og uddannelsesgodtgørelse) — 51/100 kvantil","Øvrige dagpenge fra A-kasser (ekskl. efterløn, arbejdsløshedsdagpenge og uddannelsesgodtgørelse) — 51/100 kvantil",,"Other unemployment benefits from A-kasses (excl. efterløn, regular unemployment benefit and training allowance) — 51/100 quantile",,,dst_times_ovrig_dagpenge_akas_13,generated:quantile_percentile,high,english,,
LAB_ovrig_dagpenge_akas_13_Q27,LAB,ovrig,dagpenge_akas_13_Q27,"Øvrige dagpenge fra A-kasser (ekskl. efterløn, arbejdsløshedsdagpenge og uddannelsesgodtgørelse) — 27/100 kvantil","Øvrige dagpenge fra A-kasser (ekskl. efterløn, arbejdsløshedsdagpenge og uddannelsesgodtgørelse) — 27/100 kvantil",,"Other unemployment benefits from A-kasses (excl. efterløn, regular unemployment benefit and training allowance) — 27/100 quantile",,,dst_times_ovrig_dagpenge_akas_13,generated:quantile_percentile,high,english,,
LAB_ovrig_dagpenge_akas_13_Q61,LAB,ovrig,dagpenge_akas_13_Q61,"Øvrige dagpenge fra A-kasser (ekskl. efterløn, arbejdsløshedsdagpenge og uddannelsesgodtgørelse) — 61/100 kvantil","Øvrige dagpenge fra A-kasser (ekskl. efterløn, arbejdsløshedsdagpenge og uddannelsesgodtgørelse) — 61/100 kvantil",,"Other unemployment benefits from A-kasses (excl. efterløn, regular unemployment benefit and training allowance) — 61/100 quantile",,,dst_times_ovrig_dagpenge_akas_13,generated:quantile_percentile,high,english,,
LAB_ovrig_dagpenge_akas_13_Q4,LAB,ovrig,dagpenge_akas_13_Q4,"Øvrige dagpenge fra A-kasser (ekskl. efterløn, arbejdsløshedsdagpenge og uddannelsesgodtgørelse) — 4/100 kvantil","Øvrige dagpenge fra A-kasser (ekskl. efterløn, arbejdsløshedsdagpenge og uddannelsesgodtgørelse) — 4/100 kvantil",,"Other unemployment benefits from A-kasses (excl. efterløn, regular unemployment benefit and training allowance) — 4/100 quantile",,,dst_times_ovrig_dagpenge_akas_13,generated:quantile_percentile,high,english,,
LAB_ovrig_dagpenge_akas_13_Q1,LAB,ovrig,dagpenge_akas_13_Q1,"Øvrige dagpenge fra A-kasser (ekskl. efterløn, arbejdsløshedsdagpenge og uddannelsesgodtgørelse) — 1/100 kvantil","Øvrige dagpenge fra A-kasser (ekskl. efterløn, arbejdsløshedsdagpenge og uddannelsesgodtgørelse) — 1/100 kvantil",,"Other unemployment benefits from A-kasses (excl. efterløn, regular unemployment benefit and training allowance) — 1/100 quantile",,,dst_times_ovrig_dagpenge_akas_13,generated:quantile_percentile,high,english,,
